Clean Plaintiff,Plaintiff Type,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Retail Recovery Service of NJ,Debt Buyer,183,257,585,1178,1141,480,1891,1091,1093,674,688,818,1502,1082,321,538
Capital Alliance Financial,Debt Buyer,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1077,535
University Radiology,Medical,24,6,17,40,24,76,64,228,314,321,730,188,822,672,270,518
Hackensack Radiology,Medical,116,30,45,93,11,6,11,42,153,383,744,216,1410,915,647,491
Meridian Health,Medical,183,168,197,101,43,22,16,400,981,1600,1357,1405,1158,528,697,464
Aaron Bail Bonds,Misc,0,0,0,44,1,23,4,23,274,81,1015,661,402,259,307,458
CitiFinancial / OneMain,Major Bank,0,0,0,44,247,215,174,216,226,237,388,277,764,805,743,442
Liberal Finance Service,Auto,45,57,102,54,92,80,56,94,84,132,114,225,312,441,373,391
New Jersey Anesthesia Associates,Medical,1,0,34,51,57,150,160,100,64,136,205,176,238,295,364,374
Bergen Anesthesia Group,Medical,0,0,0,0,0,0,0,0,0,0,0,5,20,27,277,368
TD Bank,Major Bank,0,0,0,0,0,0,0,0,1,0,6,2,172,789,362,352
Holy Name Medical Center,Medical,204,213,128,107,60,204,196,336,241,166,123,203,101,78,109,345
Palisades Collection,Debt Buyer,2,2,1,3,0,2,62,1162,11298,16951,25360,33148,15656,1289,1065,344
"Hayt, Hayt & Landau debt buyer",Debt Buyer,0,8,116,90,372,460,736,429,681,720,1133,1282,874,2018,272,342
Barnabas Health,Medical,1021,994,899,870,1114,945,1503,1052,1082,952,640,491,788,480,312,341
Petro,Utility,0,2,233,224,210,275,504,272,487,349,423,342,527,601,282,340
Shore Medical Center,Medical,489,592,525,337,328,230,187,241,404,328,374,435,376,341,376,327
Mercer County Board of Social Services,Government,437,482,415,661,896,692,752,949,475,564,286,238,383,337,459,314
NJM Insurance,Insurance,0,0,0,0,0,0,27,65,87,94,87,122,509,588,747,310
Raritan Bay Medical Center,Medical,259,391,461,427,497,319,407,143,124,117,117,74,20,2,101,302
Associated Radiologists,Medical,131,120,121,68,142,148,158,125,60,148,152,243,162,263,450,296
RADIOLOGY ASSOCIATES,Medical,1,2,6,15,15,10,2,0,1,24,15,68,8,17,147,294
Saint Clare’s Health System,Medical,59,9,137,176,202,512,413,371,359,463,612,656,477,679,321,292
Barclays,Major Bank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,285
Velocity Investments,Debt Buyer,0,0,0,0,0,0,0,784,560,1915,1721,2294,557,308,35,231
State of New Jersey,Government,131,139,160,126,109,129,256,184,187,110,394,382,266,306,424,212
Englewood Hospital,Medical,154,762,732,313,192,270,235,298,242,275,205,388,148,271,242,209
New Jersey Natural Gas,Utility,432,389,290,296,301,248,306,515,464,267,178,292,136,229,386,206
Jackson Capital,Debt Buyer,0,11,9,416,479,280,329,726,655,495,736,921,688,760,350,193
Pegasus Emergency Group ,Medical,0,0,0,0,0,0,1,1,1,7,26,73,163,658,228,184
Atlantic Credit & Finance,Debt Buyer,0,0,0,0,7,9,15,9,10,150,360,2383,3405,1914,1039,182
Perth Amboy Anesthesia,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,181
State Farm,Insurance,189,208,300,267,386,344,275,635,430,436,241,140,189,193,197,174
South Jersey Radiology,Medical,190,286,406,304,494,100,154,183,130,201,162,131,344,347,303,173
Jefferson Capital Systems,Debt Buyer,0,0,0,0,5,2,2,1,1,0,11,62,111,9,12,168
Cape Regional Medical Center,Medical,45,61,247,461,463,428,391,123,162,113,78,10,144,135,91,166
Kennedy Health,Medical,142,122,144,117,70,106,207,288,197,162,140,145,102,77,124,161
Oradell Animal Hospital,Misc,12,14,13,34,23,43,40,50,11,104,55,68,264,207,200,160
New Jersey Higher Ed Assistance Assoc,Government,2702,1223,49,25,176,34,13,17,21,44,25,90,34,83,29,159
Memorial Hospital of Salem County,Medical,101,30,20,13,2,0,2,18,81,90,150,311,166,175,212,155
Essex Imaging,Medical,123,49,88,77,9,33,78,70,23,1,21,56,679,256,205,150
PRINCETON RADIOLOGY ASSOCIATE S,Medical,0,0,0,0,1,2,0,0,0,0,0,0,0,0,166,147
Meadowlands Pinnacle Anesthesia,Medical,0,1,19,173,173,69,105,66,106,106,74,141,181,240,294,145
Palisades Medical Center,Medical,0,0,0,15,5,8,12,10,42,20,100,28,108,608,115,144
ATLANTIC IMAGING GRO UP,Medical,0,0,0,0,0,0,0,0,26,26,0,59,95,27,30,144
Precision Recovery Analytics,Debt Buyer,0,0,0,0,0,0,0,0,0,0,0,0,0,4,123,143
Marina District Development,Casino,0,0,0,0,0,0,0,0,138,171,384,342,382,358,207,132
PREMIER ORTHOPAEDIC ASSOCIATE S,Medical,0,0,0,0,0,0,0,0,0,0,0,0,5,45,12,131
Valley National Bank,Misc Lender,149,147,278,277,309,307,249,175,182,135,150,199,183,218,146,131
Christ Hospital,Medical,120,153,174,91,32,60,72,75,238,287,282,111,135,93,56,125
CAPE REGIONAL MEDICA L CENTER,Medical,0,0,0,0,0,0,0,0,0,0,0,0,3,2,100,123
Mariner Finance,Misc Lender,0,0,0,0,0,0,0,0,0,0,0,0,0,34,56,123
North Star Capital Acquisition,Debt Buyer,0,0,0,0,0,0,0,0,0,868,756,1569,5897,2186,771,121
Inspira Health Network,Medical,1306,705,511,633,291,227,126,124,112,168,208,171,87,78,123,118
Anesthesia Associates of Morristown,Medical,122,126,134,175,33,25,357,336,249,180,242,65,167,202,122,114
ACB Receivable Management,Collection Agency,0,0,0,0,0,0,0,0,144,76,58,48,118,86,151,108
MILLENNIUM ANESTHESI A CONSULT,Medical,0,0,0,0,0,0,0,0,0,0,0,4,6,2,21,105
Trinitas Regional Medical Center,Medical,170,136,254,250,117,182,361,302,120,146,256,161,38,29,43,103
Medical Practice Management Associates,Medical,0,0,0,0,0,0,120,127,109,167,119,140,98,138,141,101
Chrysler,Auto,315,3341,1015,1019,855,410,6,1,3,0,0,0,0,545,460,100
Rancocas Anesthesiology,Medical,0,0,0,0,0,0,0,38,269,55,127,245,449,140,102,99
Stephen Einstein debt buyer,Debt Buyer,0,0,0,0,0,0,0,0,0,0,1,0,0,437,954,95
Morris Anesthesia,Medical,0,0,0,31,28,57,28,20,44,169,146,96,95,90,122,93
ESSEX ANESTHESIOLOGI STS PA,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,91
ANESTHESIA PAIN MANA GEMENT GR O,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,88
SHORT HILLS SURGERY CENTER,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,88
Geico,Insurance,0,0,0,1,3,2,2,5,3,6,18,49,66,108,31,87
JFK Medical Center,Medical,92,96,186,179,47,22,54,32,13,34,26,38,41,130,132,85
Bergen Anesthesia Associates,Medical,15,87,13,9,123,261,367,129,193,145,226,790,513,305,40,85
Robert Triffin,Debt Buyer,72,183,179,140,98,128,298,335,267,202,146,97,124,113,106,84
OCEAN ORTHOPEDIC ASS OCIATES,Medical,0,0,0,0,0,0,0,0,0,0,0,0,2,1,27,84
AMBULATORY CENTER EN DOSCOPY,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,83
JERSEY SHORE ANESTHE SIOLOGY A S,Medical,2,11,8,5,7,41,49,24,16,33,54,55,33,26,84,81
First Resolution Investment,Debt Buyer,0,1,53,190,133,136,288,280,367,153,155,685,653,736,344,81
TOMS RIVER ANESTHESI A ASSOCIA T,Medical,0,1,17,48,2,0,1,2,0,1,0,0,0,16,52,79
Regional Orthopedic Professional Assoc,Medical,6,7,2,1,0,0,0,50,231,147,110,62,87,72,81,79
QUAKERBRIDGE RADIOLO GY ASSOCI A,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,74,412,75
RAHWAY ANESTHESIOLOG ISTS PA,Medical,14,25,3,3,12,105,6,26,0,19,5,6,44,27,44,73
American General Financial - Springleaf,Misc Lender,344,262,436,376,387,499,548,328,312,371,492,608,887,570,249,71
CONSULTANTS IN AMBUL ATORY ANE S,Medical,0,0,0,0,0,0,0,0,0,0,3,2,18,11,31,70
Unifund,Debt Buyer,0,31,48,71,28,11,318,809,2198,2546,2213,2218,1670,657,67,69
Englewood Radiologic Group,Medical,0,3,3,6,2,0,0,0,0,0,68,300,333,225,77,68
Household - Beneficial - HSBC,Major Bank,1532,2016,1524,897,1521,1265,1114,1171,1167,641,607,591,790,897,240,62
South Jersey Federal Credit Union,Misc Lender,10,2,17,21,80,51,26,36,59,21,85,21,9,71,85,61
BURLINGTON ANESTHESI A ASSOC,Medical,20,0,1,0,0,0,0,0,0,0,0,0,0,0,30,58
SUMMIT ANESTHESIA AS SOCIATES,Medical,0,2,0,0,0,0,0,0,0,0,0,0,0,11,117,58
OCEAN ORTHOPEDIC ASSOC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,58
ADVANCED LAPAROSCOPI C SURGERY,Medical,0,0,0,0,0,0,0,0,0,1,10,17,6,15,39,56
RJM Acquisitions,Debt Buyer,3,6,42,196,280,442,665,613,35,50,10,970,242,899,6,54
ESSEX ANESTHESIOLOGI STS,Medical,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,50
HUNTERDON RADIOLOGIC AL ASSOCI A,Medical,0,0,1,1,0,0,0,0,0,0,0,0,0,12,29,50
ATLANTIC AMBULANCE,Medical,0,0,0,0,0,0,0,0,0,20,100,38,23,3,28,49
Newark Beth Israel Anesthesia,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
MILLENNIUM ANESTHESI A CONSULT A,Medical,0,0,0,0,0,0,0,0,0,0,0,0,21,2,0,47
IMAGING SUBSPECIALIS TS OF NO J,Medical,0,0,0,0,0,0,0,0,0,0,0,0,13,74,64,46
Atlantic City Electric,Utility,31,36,12,2,1,9,5,2,1,42,128,115,260,146,90,46
PROGRESSIVE IMAGING CENTER,Medical,3,2,2,12,3,1,2,2,0,8,44,18,14,13,16,44
R AND R SURGICAL ASS OCIATES,Medical,0,0,0,0,0,0,0,0,0,0,3,1,0,0,23,44
NJ AMBULATORY ANESTH ESIA ASSO C,Medical,0,0,0,0,0,0,0,16,29,10,22,25,51,4,15,43
UNION COUNTY ORTHOPA EDIC GROU P,Medical,11,5,0,0,0,0,0,0,3,3,0,27,20,14,55,43
ADVANCED ORTHOPEDICS AND SPOR T,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,41
REDI DIAGNOSTICS CRP,Medical,0,0,0,0,0,0,0,0,0,0,0,0,17,9,16,40
PACE ORTHOPEDICS,Medical,0,0,0,0,0,0,1,1,3,3,1,0,0,0,32,40
Middlesex County Board of Social Services,Government,359,273,280,189,110,66,76,61,91,60,57,34,26,37,32,39
ATLANTIC NEUROSURGIC AL,Medical,0,0,0,0,0,0,0,0,2,1,0,4,13,26,39,39
EDISON ANESTHESIA AT OAK TREE,Medical,0,0,0,0,0,0,0,0,0,0,0,14,27,21,32,38
WAYNE SURGICAL CENTE R LLC,Medical,0,0,0,0,0,5,3,3,17,5,5,5,0,0,10,38
RED BANK ANESTHESIA,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,37
ABC SURGICAL ASSOCIA TES LLC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
GYN ANESTHESIA GROUP LLC,Medical,0,0,0,0,0,0,0,0,0,0,18,0,0,0,16,36
MORRIS IMAGING ASSOC IATES PA,Medical,12,4,0,0,0,0,0,0,0,19,164,186,196,182,174,35
LOURDES ANESTHESIA A SSOC,Medical,0,0,0,3,3,1,0,0,0,1,0,0,0,0,0,35
GASTROMED HEALTHCARE PA,Medical,0,1,3,4,2,2,2,1,3,6,8,9,19,7,14,34
SEAVIEW ORTHOPAEDIC AND MEDIC A,Medical,0,0,3,1,7,2,0,1,10,0,0,0,10,0,6,33
Garden State Anesthesia,Medical,0,0,8,86,34,191,180,193,167,134,175,146,721,739,85,32
FEMINO DUCEY ORTHOPE DIC GROUP,Medical,0,0,0,0,0,0,0,0,0,15,65,50,38,38,31,32
"BIOSOUND MEDICAL SER VICE, INC .",Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,32
NORTHWEST RADIOLOGY ASSOCIATE S,Medical,0,0,0,0,1,1,5,36,37,156,75,54,103,47,87,32
MEDICAL CENTER OF OC EAN COUNT Y,Medical,56,54,23,26,0,0,1,44,5,4,0,3,1,0,1,31
SELECT ANESTHESIA AN D PAIN MA N,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,31
SOUTHERN OCEAN ORAL SURGERY,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30
ENGLEWOOD MEDICAL AS SOCIATES,Medical,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,30
Burlington County Board of Social Services,Government,67,125,110,213,185,129,110,86,57,112,103,80,47,64,57,29
ELIZABETH SURGICAL G ROUP LLC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,29
INNOVATIVE AMBULATOR Y ANESTHE S,Medical,0,0,0,0,0,0,0,0,0,0,0,0,3,48,0,28
MIDDLESEX SURGERY CE NTER LLC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
AMBULATORY ANESTHESI A,Medical,1,5,0,1,1,4,2,0,0,3,3,4,17,36,5,26
HUNTERDON MEDICAL CE NTER,Medical,10,27,31,11,20,17,33,29,46,29,31,20,34,8,7,26
MONTCLAIR ORTHOPAEDI C GROUP,Medical,0,1,0,0,0,2,2,33,72,33,23,24,19,18,31,26
AMIRATA SURGICAL ASS OCIATES,Medical,0,0,0,0,0,0,0,0,6,5,16,4,21,53,38,25
GARDEN STATE IMAGING,Medical,0,0,0,0,0,0,0,0,0,15,1,4,12,4,6,25
ENGLEWOOD ORTHOPEDIC ASSOCIAT E,Medical,2,6,0,0,0,0,0,0,0,0,0,0,0,9,11,25
POMPTON LAKES ANIMAL HOSPITAL,Misc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
ATLANTIC IMAGING GRP,Medical,0,0,0,0,0,0,0,0,2,2,0,11,9,4,3,24
AVENUE E ANESTHESIA,Medical,0,0,0,0,0,0,0,1,9,60,81,125,176,65,74,24
"MEDICAL CARE INSTITU TE, PA",Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,23
Taj Financial Services,Debt Buyer,0,0,0,0,0,0,0,0,14,156,13,20,0,0,2,22
SUMMIT MEDICAL GROUP,Medical,15,3,3,0,14,74,29,11,19,9,33,0,16,10,2,22
ATLANTIC DENTAL ASSO CIATES,Medical,0,0,0,0,0,0,0,0,0,16,72,77,13,6,39,22
PALISADES RADIOLOGY ASSOCIATE S,Medical,0,0,0,0,0,0,0,0,0,0,0,5,38,82,20,22
ARCADIAN HEALTHCARE INC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,22
VIRTUA SURGICAL GROU P PA,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,21
Public Service Electric and Gas,Utility,771,571,533,292,160,103,158,105,10,16,21,96,119,108,44,21
"PALISADES SURGICAL A SSOCIATES ,",Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21
CARE STATION MEDICAL GROUP,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
LIVINGSTON DENTAL AS SOCIATES,Medical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20
CENTRAL JERSEY ANEST HESIA ASS O,Medical,0,0,0,0,0,0,0,0,0,0,0,0,2,9,10,20
FLORHAM PARK SURGERY CENTER,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20
RARITAN BAY MEDICAL IMAGING,Medical,0,0,0,0,0,0,0,0,0,0,0,0,4,14,14,19
EXCEPTIONAL MEDICAL TRANSPORT,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,19
LINCROFT ORAL MAXILL OFACIAL,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,19
CENTRAL JERSEY AMBUL ATORY SUR,Medical,0,0,0,0,0,0,0,0,0,2,3,5,4,0,9,18
NORTH JERSEY SURGICA L SPECIAL I,Medical,0,0,0,0,2,2,0,2,0,0,0,0,0,3,6,18
Hospital and Doctors Service Bureau,Medical,1291,1447,1175,1055,1070,1229,1183,859,822,729,476,232,82,75,83,18
AMBULATORY ANESTHESI A PHYSICI A,Medical,0,0,0,0,0,0,0,0,0,15,16,7,22,13,27,18
HIGHLAND PARK MEDICA L ASSOCIA T,Medical,0,0,0,0,0,0,0,0,0,0,0,10,2,5,12,17
NEWTON IMAGING,Medical,15,10,0,14,19,3,31,13,25,33,11,13,6,2,28,17
NORTHFIELD ANESTHESI A,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,17
WARREN ANESTHESIA CO NSULTANTS,Medical,0,0,0,0,0,0,0,0,0,0,0,0,1,8,43,16
MIDDLETOWN MEDICAL I MAGING,Medical,0,0,0,0,0,0,9,0,3,10,34,37,11,2,1,16
EASTON HOSPITAL,Medical,0,0,0,0,0,0,0,5,6,3,8,7,3,14,12,16
ALLIED SURGICAL GROU P PA,Medical,0,0,0,0,0,0,0,1,7,35,53,22,28,19,7,15
DIGESTIVE HEALTHCARE CENTER,Medical,0,0,0,0,0,0,0,1,1,4,4,4,1,3,9,15
HUNTERDON RADIOLOGIC AL ASSOC,Medical,2,0,21,6,0,1,0,0,5,2,0,0,0,23,8,15
OCEAN ORTHOPEDIC,Medical,0,0,0,0,0,0,0,0,0,0,0,1,8,56,95,15
ANESTHESIA CONSULTAN TS LLC,Medical,0,0,0,0,0,0,0,0,0,0,0,1,0,2,120,15
Gemini Capital Group,Debt Buyer,0,0,0,0,0,0,0,0,0,0,0,0,0,226,791,15
HOLMDEL ANESTHESIOLO GY,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
ASSOCIATED ORTHOPAED ICS,Medical,0,0,0,1,0,0,0,1,2,13,4,3,4,17,16,15
PREMIER MEDICAL LABS,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14
THE SCHOOL OF MEDICA L,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14
Cumberland Orthopedic,Medical,12,295,215,87,81,80,32,23,30,32,27,30,42,44,29,14
SURGERY ASSOCIATES O F NORTH J E,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
DENTAL ILLUMINATIONS,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
ATLANTIC IMAGING GROUP,Medical,0,0,0,0,0,0,0,0,0,0,0,5,3,0,1,14
GENERAL SURGERY OF B ERGEN PAS S,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,14
SURGICAL PRACTICES A SSOCIATES,Medical,0,0,0,0,0,0,0,0,0,0,0,15,16,16,21,14
MARTA GENERAL SURGER Y LLC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,14
PREMIER MEDICAL LABO RATORY,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
TEANECK ANESTHESIA G ROUP,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
CARDIOTHORACIC ANEST HESIA GRO U,Medical,0,0,0,0,0,0,0,0,0,0,0,0,1,2,15,13
WAYNE SURGICAL CTR LLC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13
Applied Bank,Misc Lender,0,0,20,0,0,0,20,142,318,639,551,477,648,424,131,13
Health Care Employees FCU,Misc Lender,24,15,24,25,20,21,12,23,18,15,7,5,7,6,13,13
MORRISTOWN SURGICAL CENTER MA D,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13
MID ATLANTIC SURGICA L ASSOC,Medical,5,1,1,3,0,7,15,29,15,15,1,7,7,4,9,13
OPTIMUM ANESTHESIA C ARE,Medical,0,0,0,0,0,0,0,0,0,0,0,0,17,47,58,13
REDI DIAGNOSTICS COR P,Medical,0,0,0,0,0,0,0,0,0,0,0,0,8,5,3,13
PRIME RADIOLOGY LLC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,4,52,27,13
Monmouth Anesthesia Assoc,Medical,434,221,563,548,553,90,74,17,53,20,271,255,408,440,132,13
UNIVERSITY ORTHOPAED ICS ASSOC I,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13
OCEAN ORTHOPEDIC ASS OC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,13
HILLSBOROUGH RADIOLO GY,Medical,0,0,0,0,5,0,3,2,9,22,41,14,16,14,17,13
RADIOLOGIC ASSOCIATE S NORTH N J,Medical,0,0,0,11,40,0,0,0,0,0,0,0,1,0,42,12
"PEDIATRIC SURGERY GR OUP, LLC",Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12
BRICK TOWN VETERINAR Y HOSPITA L,Misc,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12
STAFFORD ORTHOPEDICS PA,Medical,0,0,0,0,0,0,10,5,1,4,5,13,11,3,2,12
STAFFORDSHIRE DENTAL GROUP,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
OAK TREE SURGERY CEN TER,Medical,0,0,0,0,0,0,0,0,0,0,3,13,4,9,8,12
ORAL SURGERY GROUP,Medical,0,2,3,2,1,0,0,0,0,0,0,0,0,0,2,12
ST PETERS UNIVERSITY AMBULATO R,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
ALLIANCE RADIOLOGY,Medical,0,0,0,0,0,0,0,1,33,12,125,178,206,3,25,12
SPARTA MEDICAL ASSOC IATES,Medical,0,0,1,0,2,3,6,9,2,0,0,0,5,3,10,12
MODERN DIAGNOSTIC PA THOLOGY C O,Medical,0,0,0,0,0,3,2,2,0,7,9,10,6,3,12,11
PERIOPERATIVE SURGIC ARE LLC,Medical,0,0,0,0,0,0,0,0,0,0,0,4,0,1,30,11
ORTHOPEDIC SPECIALIS TS OF NJ P,Medical,0,0,0,0,0,0,0,1,1,0,2,7,2,3,2,11
MILLBURN MEDICAL IMA GING,Medical,0,0,0,0,0,0,0,0,5,17,4,12,6,3,10,11
PRINCETON RADIOLOGY WINDSOR,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11
SURGICAL ASSOCIATES HUDSON CO U,Medical,0,0,0,0,0,0,3,0,1,2,6,1,5,3,5,11
SHREWSBURY DIAGNOSTI C IMAGING,Medical,0,0,0,0,0,0,0,0,0,0,0,2,6,10,8,11
ORTHOPAEDIC SPORTS M EDICINE A N,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
ATLANTIC ANESTHESIA,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
NORTHERN NJ ANESTHES IA,Medical,0,0,0,0,0,0,0,0,0,0,0,0,7,25,25,10
MID-ATLANTICSURGICAL ASSOC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
CENTER OF DENTAL SER VICES,Medical,12,17,11,10,3,2,2,9,11,3,3,2,5,1,0,10
"DIGESTIVE HEALTHCARE CENTER, P",Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
